Code,Sample_ID,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,PR_Remarks
30019,RES4,7/26/2011 0:00,1045,4.01,25.3,7.02,108.5,
30020,MPR,7/26/2011 0:00,958,2.24,24.44,7.87,85.93,
30021,Q1,7/26/2011 0:00,849,0.75,23.63,7.52,98.2,
30022,Q2,7/26/2011 0:00,843,0.1,23.69,7.32,92.7,
30023,Q3,7/26/2011 0:00,836,0.92,23.6,7.38,89.46,
30024,RS,7/26/2011 0:00,1008,8.17,24.99,7.84,94.16,
30030,QS,8/2/2011 0:00,700,5.7,22,6.45,33.2,Storm Emily. Flooded
30031,QP,8/2/2011 0:00,725,NA,22.3,6.72,37.4,Storm Emily. Flooded
30032,QT1,8/2/2011 0:00,715,NA,22.4,6.72,48.1,Storm Emily. Flooded
30033,QG,8/2/2011 0:00,1035,8.7,21.1,5.92,36.5,Storm Emily. Flooded
30034,RI,8/2/2011 0:00,1100,1.58,21.4,5.51,31,Storm Emily. Flooded
30035,RES4,8/2/2011 0:00,930,6.8,23.6,6.15,48.1,Storm Emily. Flooded
30036,MPR,8/2/2011 0:00,1035,3.56,23.82,7.37,61.95,
30037,Q1,8/2/2011 0:00,837,0.6,24.01,6.9,39.2,
30038,Q2,8/2/2011 0:00,823,0.3,23.92,6.95,40.8,
30039,Q3,8/2/2011 0:00,816,1.4,23.61,7.19,58.09,
30040,RS,8/2/2011 0:00,1045,8.97,24.44,7.15,66.24,
30046,QS,8/9/2011 0:00,817,3.5,22.1,6.71,48.4,
30047,QP,8/9/2011 0:00,830,1.5,22.3,7.06,74.5,
30048,QT1,8/9/2011 0:00,845,NA,22.3,7.16,103.9,
30049,QG,8/9/2011 0:00,1110,8.65,21.1,6.2,48.1,
30050,RI,8/9/2011 0:00,1057,1.2,21.5,6.11,59.3,
30051,RES4,8/9/2011 0:00,948,3.5,24.7,6.95,118,
30052,MPR,8/9/2011 0:00,930,2.06,24.43,7.47,92.78,
30053,Q1,8/9/2011 0:00,857,0.82,23.59,7.26,90.5,
30054,Q2,8/9/2011 0:00,846,0.16,23.61,7.33,82.3,
30055,Q3,8/9/2011 0:00,835,1.06,23.6,7.77,74.45,
30056,RS,8/9/2011 0:00,940,8.26,24.67,7.36,93.19,
30062,QS,8/16/2011 0:00,824,3.45,23,6.76,49.3,
30063,QP,8/16/2011 0:00,840,3.45,22.7,7.01,73.3,
30064,QT1,8/16/2011 0:00,853,NA,22.7,6.98,106.5,
30065,QG,8/16/2011 0:00,1113,8.65,21.1,6.32,50.2,
30066,RI,8/16/2011 0:00,1056,NA,21.3,6.15,61.8,Buried by sand
30067,RES4,8/16/2011 0:00,956,4.1,25.9,6.72,128.5,
30068,MPR,8/16/2011 0:00,930,2.1,23.08,7.6,91.78,
30069,Q1,8/16/2011 0:00,903,0.77,23.92,7.25,94.2,
30070,Q2,8/16/2011 0:00,843,0.1,24.11,7.46,82.9,
30071,Q3,8/16/2011 0:00,833,1.04,24.02,7.79,95.5,
30072,RS,8/16/2011 0:00,941,NA,25.32,7.24,93.51,
30078,QS,8/23/2011 0:00,NA,NA,NA,NA,NA,Storm Irene. Not possible to collect.
30079,QP,8/23/2011 0:00,NA,NA,NA,NA,NA,Storm Irene. Not possible to collect.
30080,QT1,8/23/2011 0:00,NA,NA,NA,NA,NA,Storm Irene. Not possible to collect.
30081,QG,8/23/2011 0:00,NA,NA,NA,NA,NA,Storm Irene. Not possible to collect.
30082,RI,8/23/2011 0:00,1100,NA,NA,NA,NA,Storm Irene. Not possible to collect.
30083,RES4,8/23/2011 0:00,NA,NA,NA,NA,NA,Storm Irene. Not possible to collect.
30084,MPR,8/23/2011 0:00,1150,NA,NA,NA,NA,Storm Irene. Not possible to collect.
30085,Q1,8/23/2011 0:00,900,NA,NA,NA,NA,Storm Irene. Not possible to collect.
30086,Q2,8/23/2011 0:00,NA,NA,NA,NA,NA,Storm Irene. Not possible to collect.
30087,Q3,8/23/2011 0:00,NA,NA,NA,NA,NA,Storm Irene. Not possible to collect.
30088,RS,8/23/2011 0:00,NA,NA,NA,NA,NA,Storm Irene. Not possible to collect.
30094,QS,8/30/2011 0:00,802,3.65,22,6.76,47,
30095,QP,8/30/2011 0:00,820,3.45,22.3,7.02,73.9,
30096,QT1,8/30/2011 0:00,835,NA,22.4,6.75,99,
30097,QG,8/30/2011 0:00,NA,NA,NA,NA,NA,No Sample
30098,RI,8/30/2011 0:00,1115,NA,NA,NA,NA,No Sample
30099,RES4,8/30/2011 0:00,959,4.1,24.7,6.96,113.3,
30100,MPR,8/30/2011 0:00,1222,2.04,25.92,7.42,77.08,
30101,Q1,8/30/2011 0:00,949,0.86,23.84,7.02,127.8,
30102,Q2,8/30/2011 0:00,916,0.3,23.88,7.25,173.6,
30103,Q3,8/30/2011 0:00,905,1.17,23.85,7.09,70.17,
30104,RS,8/30/2011 0:00,1249,8.42,26.04,7.1,87.28,
30110,QS,9/6/2011 0:00,815,2.42,22.2,6.96,51.7,
30111,QP,9/6/2011 0:00,758,3.36,22.1,7.24,82.3,
30112,QT1,9/6/2011 0:00,825,NA,22.3,7,115.3,
30113,QG,9/6/2011 0:00,1205,8.7,21.1,6.3,48.8,
30114,RI,9/6/2011 0:00,1220,1.22,21.8,6.2,58.5,
30115,RES4,9/6/2011 0:00,1115,4,25.7,7.34,132.2,
30116,MPR,9/6/2011 0:00,1013,1.81,23.98,7.98,83.95,
30117,Q1,9/6/2011 0:00,850,0.8,23.56,7.31,91.3,
30118,Q2,9/6/2011 0:00,841,0.16,23.55,7.42,89,
30119,Q3,9/6/2011 0:00,835,1.12,23.43,7.28,72.35,
30120,RS,9/6/2011 0:00,1024,8.3,24.88,7.55,94.86,
30126,QS,9/13/2011 0:00,825,6.4,21.9,6.08,26.9,Rain Storm
30127,QP,9/13/2011 0:00,900,2.5,22.2,6.38,34.5,Rain Storm
32996,QS,2/3/2015 0:00,1020,3.54,20,7.25,56.7,
32997,QP,2/3/2015 0:00,1040,1.39,20.5,7.06,94,
32998,QT1,2/3/2015 0:00,1035,NA,20.5,7.33,137.2,
32999,RES4,2/3/2015 0:00,,NA,NA,NA,NA,No sample
33002,QG,2/3/2015 0:00,945,NA,20,6.86,48.3,
33003,RI,2/3/2015 0:00,1005,1.1,20.1,6.99,60.5,
33004,MPR,2/3/2015 0:00,1000,1.32,21.9,7.61,117.8,
33005,Q1,2/3/2015 0:00,836,1.02,22.3,7.16,108.9,
33006,Q2,2/3/2015 0:00,831,0.06,21.9,7.21,105.6,
33007,Q3,2/3/2015 0:00,826,1.2,21.9,7.53,90.4,
33008,RS,2/3/2015 0:00,1010,8.12,22.5,7.57,110.7,
33012,QS,2/10/2015 0:00,1035,3.62,20,7.09,50.3,
33013,QP,2/10/2015 0:00,1105,1.36,20,6.91,88.3,
33014,QT1,2/10/2015 0:00,1055,NA,20.5,7.18,137.9,
1193,Q3,1/3/1989 0:00,914,4.4,NA,7.45,84.1,
1194,Q2,1/3/1989 0:00,905,0.08,NA,7.46,88,
1196,QS,1/3/1989 0:00,1030,3.5,20,7.1,48,
1198,Q1,1/3/1989 0:00,851,9.74,NA,7.32,91.1,
1204,QS,1/10/1989 0:00,1115,4.58,18.8,6.64,38.3,
1207,Q3,1/10/1989 0:00,822,4.58,NA,7.51,64.1,
1208,Q2,1/10/1989 0:00,811,0.1,NA,7.6,71,
1209,Q1,1/10/1989 0:00,830,9.72,NA,7.5,77,
1216,Q3,1/17/1989 0:00,910,4.42,NA,7.18,79.2, NO3=0 removed by DAS 5/94
1217,Q2,1/17/1989 0:00,857,0.08,NA,7.24,85.3,
1218,Q1,1/17/1989 0:00,921,9.72,NA,7.11,89.3, NO3=0 removed by DAS 5/94
1219,QS,1/17/1989 0:00,1020,NA,19,6.68,48,
1220,Q1,1/24/1989 0:00,900,9.72,NA,6.92,91.5,
1221,QS,1/24/1989 0:00,940,3.4,19,6.66,49.2,
1222,Q2,1/24/1989 0:00,832,0.08,NA,7.16,87.5,
1223,Q3,1/24/1989 0:00,847,4.4,NA,7.11,82.9,
1252,Q3,1/31/1989 0:00,827,4.39,NA,6.99,83.7,
1255,Q1,1/31/1989 0:00,855,9.72,NA,6.89,92.3,
1257,QS,1/31/1989 0:00,1030,3.28,19.5,6.69,48.7,
1258,Q2,1/31/1989 0:00,819,0.04,NA,7.09,88.2,
1285,QS,2/7/1989 0:00,1000,3.4,19.5,7.024,50.1,
1287,Q1,2/7/1989 0:00,NA,9.72,NA,7.551,91.3,
1288,Q2,2/7/1989 0:00,911,0.08,NA,7.622,89.4,
1289,Q3,2/7/1989 0:00,917,4.5,NA,7.5,84.4,
1306,Q2,2/14/1989 0:00,834,0.08,NA,7.52,89.2,
1309,QS,2/14/1989 0:00,920,3.44,18,6.8,50.1,
1311,Q1,2/14/1989 0:00,901,9.92,NA,7.33,93.8,
1313,Q3,2/14/1989 0:00,440,8.48,NA,7.3,84.4,
1326,Q1,2/21/1989 0:00,901,9.72,NA,7.1,90.6,
1327,Q2,2/21/1989 0:00,837,0.08,NA,7.34,84,
1328,Q3,2/21/1989 0:00,850,4.44,NA,7.31,78.8,
1329,QS,2/21/1989 0:00,915,3.62,19,6.91,46.4,
1346,QS,2/28/1989 0:00,900,3.7,18.5,6.84,44,
1347,Q1,2/28/1989 0:00,949,9.7,NA,7.22,90.2,
1348,Q2,2/28/1989 0:00,937,0.08,NA,7.21,79.7,
1349,Q3,2/28/1989 0:00,915,4.47,NA,7.28,74.3,
1370,QS,3/7/1989 0:00,850,3.46,19,6.71,52.6,
1371,Q1,3/7/1989 0:00,927,9.72,NA,7.49,91.8,
1372,Q2,3/7/1989 0:00,846,0.08,NA,7.28,87.2,
1373,Q3,3/7/1989 0:00,900,4.44,NA,7.38,82.9,
1377,Q1,3/9/1989 0:00,NA,NA,NA,NA,NA,
1378,Q2,3/9/1989 0:00,NA,NA,NA,NA,NA,
1379,Q3,3/9/1989 0:00,NA,NA,NA,NA,NA,
1390,QS,3/14/1989 0:00,940,3.74,19,6.81,46,
1391,Q1,3/14/1989 0:00,916,9.72,NA,7.34,86.2,
1392,Q2,3/14/1989 0:00,851,0.08,NA,7.27,81.6,
1393,Q3,3/14/1989 0:00,902,4.46,NA,7.05,75.1,
1397,QS,3/21/1989 0:00,840,3.42,18.5,6.77,48.2,
1398,Q1,3/21/1989 0:00,923,9.72,NA,7.25,91.1,
1399,Q2,3/21/1989 0:00,930,0.0955,NA,7.16,87,
1400,Q3,3/21/1989 0:00,930,4.44,NA,7.4,81.2,
1404,QS,3/28/1989 0:00,930,3.22,19,6.72,50.9,
1405,Q1,3/28/1989 0:00,929,9.72,NA,7.25,91.2,
1406,Q2,3/28/1989 0:00,903,0.08,NA,7.35,87.3,
1407,Q3,3/28/1989 0:00,917,4.44,NA,7.18,82.5,
1443,QS,4/4/1989 0:00,900,3.34,19,6.65,43.2,
1444,Q1,4/4/1989 0:00,953,9.7,NA,7.21,91.2,
1445,Q2,4/4/1989 0:00,915,0.08,NA,7.35,85.7,
1446,Q3,4/4/1989 0:00,915,4.44,NA,7.31,79.9,
1459,QS,4/11/1989 0:00,920,3.4,19,6.72,44.4,
1460,Q1,4/11/1989 0:00,853,9.74,NA,7.09,83,
1461,Q2,4/11/1989 0:00,827,0.08,NA,7.23,80.1,
1462,Q3,4/11/1989 0:00,839,4.48,NA,7.21,76.3,
1467,QS,4/18/1989 0:00,1035,NA,19,6.7,48.7,
1468,Q1,4/18/1989 0:00,928,9.7,NA,7.22,92.5,
1469,Q2,4/18/1989 0:00,849,0.1,NA,7.25,88.2,
1470,Q3,4/18/1989 0:00,849,4.42,NA,7.14,84,
1482,Q1,3/14/1989 0:00,1202,9.9,NA,NA,NA,"only anions, NO3=0 removed by DAS 5/94"
1483,Q2,3/14/1989 0:00,1158,0.29,NA,NA,NA,only anions
1497,QS,4/25/1989 0:00,920,2.82,21,6.63,53.3,
1498,Q1,4/25/1989 0:00,921,9.72,NA,7.35,95.8,
1499,Q2,4/25/1989 0:00,843,0.08,NA,7.22,91,
1500,Q3,4/25/1989 0:00,907,4.42,NA,6.97,88.1,
1504,QS,5/2/1989 0:00,900,3.25,21,6.78,49.8,
1505,Q1,5/2/1989 0:00,919,9.7,NA,7.42,92.9,
1506,Q2,5/2/1989 0:00,840,0.08,NA,7.34,89.3,
1031,QS,10/25/1988 0:00,1202,3.42,21,7.28,40.6,
1034,Q3,10/25/1988 0:00,853,4.46,NA,7.51,65.4,
1035,Q2,10/25/1988 0:00,825,0.1,NA,7.39,72.2,
1036,Q1,10/25/1988 0:00,914,9.72,NA,7.15,77.3,
1064,Q1,11/1/1988 0:00,851,9.74,NA,7.13,87.6,
1065,Q2,11/1/1988 0:00,826,0.08,NA,7.31,85.1,
1070,Q3,11/1/1988 0:00,839,4.44,NA,7.43,77.8,
1071,QS,11/1/1988 0:00,1035,3.6,21,6.9,44.5,
1079,Q3,11/15/1988 0:00,847,4.49,NA,7.42,76.2,
1081,Q1,11/15/1988 0:00,840,9.74,NA,7.16,88.2,
1082,Q2,11/15/1988 0:00,856,0.12,NA,7.35,82.9,
1085,QS,11/15/1988 0:00,1105,3.5,21,6.89,43.9,
1090,Q2,11/7/1988 0:00,840,0.08,NA,7.52,87.1,
1091,Q3,11/7/1988 0:00,850,4.44,NA,7.5,81.3,
1093,Q1,11/7/1988 0:00,905,9.72,NA,7.31,90.6,
1094,QS,11/7/1988 0:00,1105,3.29,22,6.93,46.3,
1097,Q2,11/22/1988 0:00,826,0.12,NA,7.25,76.2,
1099,Q3,11/22/1988 0:00,835,4.58,NA,7.22,68.2,
1100,Q1,11/22/1988 0:00,846,9.74,NA,6.89,77.1,
1101,QS,11/22/1988 0:00,1110,3.68,20,6.76,43.5,
1116,QS,11/29/1988 0:00,1010,3.3,19,6.8,47.3,
1117,Q1,11/29/1988 0:00,906,9.72,NA,7.55,91.6,
1121,Q2,11/29/1988 0:00,833,0.1,NA,7.32,91.5,
1122,Q3,11/29/1988 0:00,850,4.44,NA,7.4,84,
1125,Q1,12/6/1988 0:00,900,9.7,NA,7.5,87.6,
1129,Q3,12/6/1988 0:00,849,4.4,NA,7.59,76.2,
1131,QS,12/6/1988 0:00,1000,3.27,18.5,7.08,44.1,
1132,Q2,12/6/1988 0:00,839,0.1,NA,7.61,83.3,
1157,Q3,12/13/1988 0:00,941,4.4,NA,7.45,79.3,
1158,Q2,12/13/1988 0:00,935,0.1,NA,7.52,81.3,
1159,Q1,12/13/1988 0:00,1005,9.72,NA,7.24,80.6,
1161,QS,12/13/1988 0:00,1050,3.36,20,7.27,46.3,
1175,Q3,12/20/1988 0:00,931,4.4,NA,7.56,81.8,
1176,QS,12/20/1988 0:00,1020,3.29,19.5,7.27,46.3,
1177,Q1,12/20/1988 0:00,945,9.72,NA,7.42,90.2,
1178,Q2,12/20/1988 0:00,925,0.08,NA,7.58,86.4,
1184,Q1,12/27/1988 0:00,1025,9.72,NA,7.31,85.6,
1185,QS,12/27/1988 0:00,1028,3.64,20,7.17,43,
1186,Q3,12/27/1988 0:00,839,4.58,NA,7.4,77,
1189,Q2,12/27/1988 0:00,938,0.08,NA,7.44,83,
1507,Q3,5/2/1989 0:00,852,4.4,NA,7.27,86.5,
1512,Q1,5/9/1989 0:00,905,9.72,NA,7.16,89.8,
1513,Q2,5/9/1989 0:00,835,0.08,NA,7.23,87.4,
1514,Q3,5/9/1989 0:00,850,4.44,NA,7.35,76.4,
1515,QS,5/9/1989 0:00,1130,2.9,20.5,6.8,NA,
1519,QS,5/16/1989 0:00,845,2.8,22,6.56,54,
1520,Q1,5/16/1989 0:00,854,9.72,NA,7.33,109,
1521,Q2,5/16/1989 0:00,829,0.06,NA,7.35,101,
1522,Q3,5/16/1989 0:00,837,4.42,NA,7.38,100,
1526,MPR,5/16/1989 0:00,933,1.78,NA,7.08,108,
1535,QS,5/23/1989 0:00,915,2.6,21,6.6,43.3,
1536,Q1,5/23/1989 0:00,925,9.74,NA,7.06,78.5,
1537,Q2,5/23/1989 0:00,852,0.04,NA,7.13,75.1,
1538,Q3,5/23/1989 0:00,907,4.4,NA,6.95,74.9,
1539,MPR,5/23/1989 0:00,1005,1.9,NA,7.45,92.8,
1563,QS,5/30/1989 0:00,NA,NA,NA,6.52,37.5,blank gage datum
1564,Q1,5/30/1989 0:00,859,9.76,NA,7.04,79.8,
1565,Q2,5/30/1989 0:00,833,0.06,NA,6.97,76,
1566,Q3,5/30/1989 0:00,845,4.42,NA,7.11,72.3,
1570,MPR,5/30/1989 0:00,1034,2.76,NA,7.19,68.6,
1574,QS,6/6/1989 0:00,900,3.58,21,7.35,37.9,
1577,QPA,6/6/1989 0:00,NA,NA,21,6.79,49.4,
1578,QPB,6/6/1989 0:00,NA,NA,21,7.09,61.3,
1579,Q1,6/6/1989 0:00,851,9.76,NA,7.27,143.1,
1580,Q2,6/6/1989 0:00,835,0.12,NA,7.13,72.4,
1581,Q3,6/6/1989 0:00,842,4.48,NA,7.18,109,
1582,MPR,6/6/1989 0:00,1110,2.42,NA,7.54,72.6,
1598,QS,6/13/1989 0:00,1033,3.25,17.5,7.06,43.3,
1599,MPR,6/13/1989 0:00,1000,2.13,NA,7.34,85,
1600,Q1,6/13/1989 0:00,928,9.76,NA,7.13,84.3,
1601,Q2,6/13/1989 0:00,844,0.08,NA,7.18,77.2,
1602,Q3,6/13/1989 0:00,903,4.44,NA,6.91,74.4,
1603,QPA,6/13/1989 0:00,1055,NA,NA,7.2,70.5,
1605,QPB,6/13/1989 0:00,1108,NA,NA,6.92,61.3,
1649,QS,6/20/1989 0:00,920,3.36,21.5,6.74,40.8,
1650,Q1,6/20/1989 0:00,921,9.78,NA,7.42,81.4,
1651,Q2,6/20/1989 0:00,852,0.08,NA,7.41,78,
1652,Q3,6/20/1989 0:00,909,4.42,NA,7.39,72,
1657,MPR,6/20/1989 0:00,1010,2.18,NA,7.67,81.3,
1658,QPA,6/20/1989 0:00,940,NA,21.5,6.83,59.3,
1659,QPB,6/20/1989 0:00,945,NA,21.5,7.03,72.8,
1682,QS,6/27/1989 0:00,908,3.18,22,7.14,46.6,
1683,Q1,6/27/1989 0:00,911,9.74,NA,7.46,81.5,
1684,Q2,6/27/1989 0:00,840,0.08,NA,7.36,75.7,
1685,Q3,6/27/1989 0:00,852,4.44,NA,7.38,72.7,
1687,MPR,6/27/1989 0:00,957,1.83,NA,7.47,84.7,
1690,QPA,6/27/1989 0:00,925,NA,22,7.07,77,
1691,QPB,6/27/1989 0:00,932,NA,22,7.08,64.9,
1694,Q1,7/5/1989 0:00,956,9.86,NA,6.48,39.6, NO3=0 removed by DAS 5/94
1695,Q2,7/5/1989 0:00,929,0.28,NA,6.95,40.8,
1696,Q3,7/5/1989 0:00,946,4.84,NA,6.74,40, NO3=0 removed by DAS 5/94
1697,MPR,7/5/1989 0:00,NA,NA,NA,6.94,39.2, NO3=0 removed by DAS 5/94
1698,QPA,7/5/1989 0:00,NA,NA,NA,7,65.2, NO3=0 removed by DAS 5/94
1699,QPB,7/5/1989 0:00,NA,NA,NA,6.9,53.2, NO3=0 removed by DAS 5/94
1702,QS,7/5/1989 0:00,NA,NA,NA,6.75,38,blank gage datum
1983,Q2,7/11/1989 0:00,907,0.12,NA,7.11,72.2,
1985,QPA,7/11/1989 0:00,NA,NA,NA,7.12,69.4,
1986,MPR,7/11/1989 0:00,1032,1.64,NA,7.33,76.3,
1987,Q3,7/11/1989 0:00,917,4.48,NA,7.22,68.8,
1988,QPB,7/11/1989 0:00,NA,NA,NA,6.89,57.1,
1991,QS,7/11/1989 0:00,1211,3.45,22,7.33,40.6,
1993,Q1,7/11/1989 0:00,925,9.72,NA,6.95,69,
2031,Q1,7/18/1989 0:00,904,9.73,NA,7.14,78.6,
2032,Q2,7/18/1989 0:00,908,0.09,NA,6.99,72.7,
2033,Q3,7/18/1989 0:00,850,4.47,NA,6.77,66.3, NO3=0 removed by DAS 5/94
2034,QS,7/18/1989 0:00,930,3.76,21.5,6.93,36.5,
2035,QPA,7/18/1989 0:00,947,NA,22,7.15,64.1,
2036,QPB,7/18/1989 0:00,941,NA,21.5,6.68,59.6,
2054,QPB,7/26/1989 0:00,NA,NA,NA,6.95,55.7,
2055,QS,7/26/1989 0:00,1200,3.48,22,7.12,41.1,
2059,QPA,7/26/1989 0:00,NA,NA,NA,7.19,65, NO3=0 removed by DAS 5/94
2060,Q1,7/26/1989 0:00,NA,NA,NA,7.28,77.9,blank gage datum
2061,Q2,7/26/1989 0:00,NA,NA,NA,7.25,74.1,blank gage datum
2062,Q3,7/26/1989 0:00,NA,NA,NA,6.99,68.3,blank gage datum
2063,MPR,7/26/1989 0:00,NA,NA,NA,7.17,69.5, NO3=0 removed by DAS 5/94
2110,QPB,8/1/1989 0:00,NA,NA,NA,6.78,48.9,
2111,Q2,8/1/1989 0:00,933,0.1,NA,7.1,70.9,
2113,MPR,8/1/1989 0:00,1101,2.46,NA,7.18,76.1,
2115,QPA,8/1/1989 0:00,NA,NA,NA,6.82,56.9,
2116,Q3,8/1/1989 0:00,924,4.46,NA,7.15,66.8,
2118,Q1,8/1/1989 0:00,956,9.72,NA,6.86,74.8,
2120,QS,8/1/1989 0:00,1215,3.82,22,6.53,36.9,
2122,QS,8/8/1989 0:00,1300,3.26,22,6.92,41.7,
2123,Q1,8/8/1989 0:00,858,9.74,NA,7.27,85.5,
2124,Q2,8/8/1989 0:00,843,0.08,NA,7.31,58.8,
2125,Q3,8/8/1989 0:00,850,4.44,NA,7.17,74.9,
2126,QPA,8/8/1989 0:00,1100,NA,22,7.23,74.2,
2127,QPB,8/8/1989 0:00,1115,NA,22,7.27,63.8,
2132,MPR,8/8/1989 0:00,1120,2.2,NA,7.03,74.3,
2133,QS,8/15/1989 0:00,1100,3.46,22,7.09,39.2,
2134,Q1,8/15/1989 0:00,910,NA,NA,7.28,79.8,
2135,Q2,8/15/1989 0:00,931,NA,NA,7.25,74.2,
2136,Q3,8/15/1989 0:00,920,4.42,NA,7.27,70.6,
2140,QPA,8/15/1989 0:00,1125,NA,22,6.88,68.9,
2141,QPB,8/15/1989 0:00,1115,NA,22,6.62,58.7,
2143,MPR,8/15/1989 0:00,1029,10.46,NA,6.91,76,
2144,QS,8/22/1989 0:00,1015,4.24,21.5,6.42,47.2,
2145,Q1,8/22/1989 0:00,954,9.8,NA,7.02,43.8,
2146,Q2,8/22/1989 0:00,935,0.2,NA,7.15,41.5,
2147,Q3,8/22/1989 0:00,942,4.68,NA,6.63,40.9,
2152,MPR,8/22/1989 0:00,1025,3,NA,7.31,69.1,
2153,QPA,8/22/1989 0:00,1050,NA,21.5,6.76,62.3,
2154,QPB,8/22/1989 0:00,1115,NA,21.5,7,65.6, NO3=0 removed by DAS 5/94
2156,QS,8/29/1989 0:00,1115,4.9,21,6.3,29.9,
2157,Q1,8/29/1989 0:00,916,9.76,NA,6.88,76.6,
2158,Q2,8/29/1989 0:00,851,0.12,NA,7.17,72.5,
2159,Q3,8/29/1989 0:00,904,4.5,NA,7.25,61.5,
2162,QPA,8/29/1989 0:00,1005,NA,21,6.63,49.3,
2163,QPB,8/29/1989 0:00,959,NA,21,6.9,44.7,
2165,MPR,8/29/1989 0:00,1025,2.38,NA,6.66,57,
2192,QS,9/5/1989 0:00,1020,3.46,23,6.68,33.4,
2193,Q1,9/5/1989 0:00,851,9.75,NA,6.9,79.6,
2194,Q2,9/5/1989 0:00,832,0.1,NA,7.03,78.2,
2195,Q3,9/5/1989 0:00,841,4.47,NA,6.69,69.3,
2201,QPA,9/5/1989 0:00,921,NA,22,7.11,66.4,
2202,QPB,9/5/1989 0:00,915,NA,22,6.56,56.4,
2203,QS,9/12/1989 0:00,950,4.45,22,7.03,42.7,
2204,Q1,9/12/1989 0:00,941,9.74,NA,7.29,104.8,
2205,Q2,9/12/1989 0:00,905,0.08,NA,7.2,97.2,
2206,Q3,9/12/1989 0:00,920,4.46,NA,6.89,131.6,
2209,MPR,9/12/1989 0:00,1017,2.3,NA,7.27,79.5,
2213,QPA,9/12/1989 0:00,920,NA,21,6.63,72.9,
2214,QPB,9/12/1989 0:00,926,NA,21,6.89,59.5,
2215,Q1,9/26/1989 0:00,1115,9.8,NA,NA,NA,
2216,Q2,9/26/1989 0:00,1201,0.58,NA,NA,NA,
2217,Q3,9/26/1989 0:00,1316,4.74,NA,NA,NA,
2218,QS,9/26/1989 0:00,NA,3.9,21,6.61,56.6,
2219,Q3,9/26/1989 0:00,1142,4.72,NA,NA,NA,
2220,Q1,9/26/1989 0:00,1351,9.81,NA,NA,NA,
2221,Q2,9/26/1989 0:00,1339,0.56,NA,NA,NA,
2222,QPA,9/26/1989 0:00,NA,NA,21,6.81,97.4,
2223,QPB,9/26/1989 0:00,NA,NA,21,6.69,74.9,
2224,Q1,9/22/1989 0:00,1400,9,NA,NA,NA,
2225,Q2,9/22/1989 0:00,1356,0.59,NA,NA,NA,
